a,a_label,n_components,runtime_seconds,vector_size,embedding_source_label,model_coverage,avg_in_vocab_tokens_per_doc,avg_in_vocab_tokens_per_query,zero_vector_docs,zero_vector_queries,precision_at_10,recall_at_10,fscore_at_10,map_at_10,ndcg_at_10,mrr_at_10
0.01,1e-02,0,1.1938531398773193,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.08088888888888889,0.11794087867118004,0.08908509842359351,0.06509657736700619,0.13464288335910143,0.27183597883597904
0.01,1e-02,1,1.2164180278778076,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.08311111111111114,0.11977449328985214,0.09146564393197139,0.06998445344397004,0.139721771192607,0.28659964726631415
0.01,1e-02,2,1.1618084907531738,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.08711111111111117,0.12854717492920045,0.09603269598721835,0.07182516557099844,0.1447382865233125,0.28813580246913595
0.001,1e-03,0,1.1546502113342285,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.07022222222222216,0.10089462117699546,0.07711634849893867,0.05974977425350579,0.1201429666497525,0.2520458553791887
0.001,1e-03,1,1.1704530715942383,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.07288888888888884,0.10668677963582057,0.08060215627171194,0.06401636192852242,0.12423375041041056,0.25626807760141107
0.001,1e-03,2,1.163029670715332,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.07244444444444438,0.10492420147324238,0.07975770272426563,0.06576909401617229,0.1262947183999868,0.2663509700176367
0.0001,1e-04,0,1.146522045135498,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.04888888888888885,0.07498630725617308,0.05568512443415465,0.04699838989126916,0.0859951324543573,0.17016578483245148
0.0001,1e-04,1,1.159919023513794,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.05422222222222217,0.08620986024639271,0.06220922077374047,0.05249887210196235,0.09631523641414223,0.18741798941798946
0.0001,1e-04,2,1.163728952407837,50,glove-wiki-gigaword-50,0.4564816129490274,60.604285714285716,6.337777777777778,2,0,0.0493333333333333,0.07836536646856564,0.05638424824398938,0.05010565534092242,0.09059272838682,0.1833245149911816
